Iteration center_dist mem_frac noise_lower noise_upper c pm_scale MSD
" " "2158 pc +/- 180 pc" "57.352 +/- 3.675" "803.502 +/- 216.246" "3757.489 +/- 313.854" "619.323 +/- 158.306" "4481.781 +/- 641.264" " "
5 2379.0 58.0 561.0 3878.0 579.0 5689.0 242.2935
14 1963.0 59.0 715.0 3582.0 688.0 4158.0 268.1343
25 1994.0 59.0 1040.0 3531.0 532.0 4094.0 333.5025
12 2265.0 61.0 1089.0 3706.0 563.0 4825.0 426.5522
24 1925.0 57.0 971.0 3365.0 478.0 3773.0 430.7413
17 2276.0 50.0 710.0 3601.0 558.0 4391.0 464.0796
18 2331.0 60.0 903.0 4455.0 966.0 4583.0 477.3532
13 2215.0 54.0 634.0 4028.0 621.0 4700.0 483.3831
6 2269.0 52.0 458.0 4245.0 763.0 4384.0 519.8756
23 1931.0 58.0 627.0 3764.0 628.0 3672.0 527.3333
11 2306.0 65.0 1097.0 3463.0 580.0 5104.0 638.995
27 2248.0 54.0 1003.0 3898.0 258.0 4312.0 648.01
8 1967.0 56.0 898.0 3404.0 864.0 3650.0 677.7761
