Iteration center_dist mem_frac noise_lower noise_upper c pm_scale MSD
" " "3531 pc +/- 444 pc" "13.785 +/- 0.446" "1902.329 +/- 207.514" "6803.055 +/- 133.409" "588.521 +/- 354.552" "7027.015 +/- 1071.751" " "
3 4006.0 14.0 1680.0 6731.0 50.0 8368.0 14.2438
2 2988.0 14.0 2140.0 6754.0 862.0 6089.0 16.3881
17 3692.0 14.0 1679.0 6744.0 884.0 7740.0 20.1343
4 3116.0 14.0 2018.0 6669.0 535.0 6048.0 21.2587
26 3714.0 13.0 2107.0 6913.0 753.0 5844.0 27.3134
24 3990.0 13.0 1800.0 6911.0 366.0 7787.0 28.5672
5 3192.0 14.0 1986.0 7082.0 904.0 6746.0 29.403
