	center_dist	mem_frac	noise_lower	noise_upper	c	pm_scale	residual
0	2158.3102043027448	57.352106505844354	803.5016489528412	3757.4894139978373	619.3233085378927	4481.781415386053	-1.0
1	180.25194163763854	3.6747031290513883	216.24629018846218	313.8542716231445	158.30613201178102	641.2643680603735	-1.0
2	2284.0	52.0	851.0	4158.0	812.0	4404.0	1846.726368159204
3	2252.0	51.0	947.0	4105.0	707.0	3823.0	2455.9651741293533
4	2126.0	51.0	515.0	4057.0	482.0	3613.0	1356.7014925373135
5	2379.0	58.0	561.0	3878.0	579.0	5689.0	242.29353233830847
6	2269.0	52.0	458.0	4245.0	763.0	4384.0	519.8756218905472
7	2239.0	51.0	1053.0	3928.0	816.0	3915.0	2397.2885572139303
8	1967.0	56.0	898.0	3404.0	864.0	3650.0	677.776119402985
9	2282.0	62.0	726.0	3977.0	173.0	4475.0	2797.313432835821
10	2291.0	51.0	751.0	5520.0	741.0	3886.0	3949.6119402985073
11	2306.0	65.0	1097.0	3463.0	580.0	5104.0	638.9950248756219
12	2265.0	61.0	1089.0	3706.0	563.0	4825.0	426.55223880597015
13	2215.0	54.0	634.0	4028.0	621.0	4700.0	483.3830845771144
14	1963.0	59.0	715.0	3582.0	688.0	4158.0	268.13432835820896
15	2327.0	53.0	559.0	3989.0	745.0	4778.0	860.0796019900497
16	1930.0	52.0	641.0	3626.0	894.0	3716.0	2295.378109452736
17	2276.0	50.0	710.0	3601.0	558.0	4391.0	464.07960199004975
18	2331.0	60.0	903.0	4455.0	966.0	4583.0	477.3532338308458
19	2005.0	57.0	1097.0	4068.0	733.0	3993.0	1145.870646766169
20	2215.0	51.0	655.0	4463.0	445.0	4028.0	1590.995024875622
21	2324.0	51.0	778.0	4518.0	562.0	4074.0	2208.373134328358
22	2345.0	53.0	606.0	3964.0	719.0	4806.0	738.0597014925373
23	1931.0	58.0	627.0	3764.0	628.0	3672.0	527.3333333333334
24	1925.0	57.0	971.0	3365.0	478.0	3773.0	430.7412935323383
25	1994.0	59.0	1040.0	3531.0	532.0	4094.0	333.50248756218906
26	2358.0	55.0	857.0	4103.0	862.0	4747.0	824.3283582089553
27	2248.0	54.0	1003.0	3898.0	258.0	4312.0	648.0099502487562
28	2352.0	55.0	1052.0	4637.0	834.0	4744.0	3082.6716417910447
29	2336.0	52.0	358.0	3809.0	12.0	4848.0	4999.671641791045
30	1971.0	50.0	959.0	3690.0	930.0	4105.0	4264.761194029851
31	1920.0	51.0	967.0	3907.0	184.0	3868.0	1112.3681592039802
