	center_dist	mem_frac	noise_lower	noise_upper	c	pm_scale	residual
0	740.1489592635867	59.440825904746106	558.4794772590935	1576.5044184384478	553.6038403939084	2961.5865808153594	-1.0
1	5.854549633011584	3.7198581741195	51.52844006430197	77.03400978638902	151.8007438552624	168.48304050921817	-1.0
2	740.0	61.0	502.0	1509.0	268.0	2902.0	721.6865671641791
3	725.0	51.0	568.0	1625.0	763.0	3165.0	326.6169154228856
4	744.0	61.0	521.0	1503.0	448.0	2903.0	224.46268656716418
5	741.0	61.0	518.0	1509.0	435.0	2858.0	370.7014925373134
6	743.0	61.0	580.0	1492.0	588.0	2877.0	184.50248756218906
7	739.0	59.0	630.0	1691.0	828.0	2831.0	249.3233830845771
8	739.0	61.0	569.0	1496.0	442.0	2599.0	752.0248756218906
9	743.0	61.0	568.0	1643.0	446.0	2888.0	193.24875621890547
10	739.0	61.0	627.0	1501.0	397.0	2635.0	815.3930348258707
11	740.0	61.0	503.0	1531.0	333.0	2709.0	946.502487562189
12	739.0	59.0	595.0	1706.0	813.0	3089.0	334.6318407960199
13	741.0	61.0	644.0	1517.0	434.0	2873.0	339.58706467661693
14	736.0	55.0	577.0	1668.0	548.0	2678.0	602.2885572139304
15	743.0	61.0	626.0	1527.0	381.0	2876.0	234.80099502487562
16	742.0	61.0	502.0	1574.0	431.0	2882.0	318.29353233830847
17	743.0	61.0	500.0	1532.0	441.0	2880.0	267.44776119402985
18	748.0	65.0	578.0	1657.0	143.0	3300.0	3039.3980099502487
19	741.0	61.0	552.0	1509.0	579.0	2849.0	309.44278606965173
20	742.0	59.0	629.0	1731.0	858.0	2399.0	1439.313432835821
21	741.0	61.0	584.0	1547.0	387.0	2863.0	497.90547263681594
22	728.0	51.0	641.0	1556.0	386.0	3360.0	444.34328358208955
23	727.0	51.0	492.0	1631.0	535.0	3359.0	410.8756218905473
24	743.0	61.0	602.0	1628.0	612.0	2887.0	209.5273631840796
25	732.0	55.0	628.0	1582.0	488.0	2787.0	812.7562189054727
26	741.0	61.0	496.0	1525.0	400.0	2917.0	361.3681592039801
27	744.0	61.0	502.0	1615.0	619.0	2881.0	148.97512437810946
28	746.0	64.0	545.0	1701.0	860.0	3352.0	378.30348258706465
29	729.0	51.0	525.0	1424.0	461.0	3196.0	412.2437810945274
30	739.0	61.0	548.0	1573.0	243.0	2657.0	2778.9751243781093
31	729.0	51.0	645.0	1657.0	350.0	3160.0	583.2587064676617
